Date	Price	Open	High	Low	Change %
22-Jul-14	612.59	620	624	605.54	-1.16
21-Jul-14	619.79	621	621.75	605	0.14
20-Jul-14	618.91	623.25	623.25	617	-1.01
19-Jul-14	625.25	627.17	627.17	618	-0.35
18-Jul-14	627.46	626.41	627.46	616.75	-0.02
17-Jul-14	627.6	622	631.14	619	1.06
16-Jul-14	621.04	620	631.68	614.04	0.03
15-Jul-14	620.87	621.33	624	617.9	-0.25
14-Jul-14	622.4	621.72	624	616	-0.26
13-Jul-14	624	626	626	621.51	-0.32
12-Jul-14	626	625.07	630	623	0.08
11-Jul-14	625.5	610	625.5	609.91	2.54
10-Jul-14	610	618.5	620	608.5	-1.65
9-Jul-14	620.24	620.7	624.7	616.25	0.28
8-Jul-14	618.5	623.26	626	611.06	-0.88
7-Jul-14	624	630.5	635	615	-1.46
6-Jul-14	633.25	634.6	636.81	630.49	0.52
5-Jul-14	630	635	636	630	-0.35
4-Jul-14	632.24	649.98	650	628.51	-1.77
3-Jul-14	643.62	649.46	652	640.72	-0.66
2-Jul-14	647.9	650.58	654.91	641	-0.44
1-Jul-14	650.77	650	662	643.9	1.68
30-Jun-14	640.01	605.53	646	605.53	6.02
29-Jun-14	603.65	603.04	606.98	601	0.59
28-Jun-14	600.1	602.54	610.47	600.1	-1
27-Jun-14	606.18	582.73	606.18	582	4.89
26-Jun-14	577.9	573.5	578.75	572	1.73
25-Jun-14	568.07	585	585	568.07	-3.27
24-Jun-14	587.28	595.87	595.87	585	-2
23-Jun-14	599.25	609.65	609.66	592.5	-1.41
22-Jun-14	607.8	605	620	605	1.03
21-Jun-14	601.61	597.32	601.61	592.21	0.1
20-Jun-14	601	595.86	603	591	-0.17
19-Jun-14	602	608.01	613.75	600.26	-1.55
18-Jun-14	611.5	615.5	621.08	603.79	-0.45
17-Jun-14	614.25	578.85	614.25	577.02	5.91
16-Jun-14	580	580.85	601	580	1.58
15-Jun-14	571	565	571.78	549.31	3
14-Jun-14	554.37	584	584.48	545.33	-4.84
13-Jun-14	582.59	586.93	615.58	570	-1.26
12-Jun-14	590.01	636	640.1	569.09	-7.39
11-Jun-14	637.1	657.25	657.25	637.1	-2.53
10-Jun-14	653.64	653.97	663	647	-0.01
9-Jun-14	653.73	663.93	663.93	653	-1.3
8-Jun-14	662.35	664.85	668.2	660	-0.1
7-Jun-14	663	646.75	663	646.75	1.22
6-Jun-14	655	661	666	654.65	-1.24
5-Jun-14	663.25	651.83	670	650	1.68
4-Jun-14	652.29	681.25	681.25	640	-4.48
3-Jun-14	682.88	673.07	693.89	665	2
2-Jun-14	669.5	647.06	675	623.94	3.56
1-Jun-14	646.5	638	687.35	625	1.71
31-May-14	635.6	621	635.6	618.62	1.05
30-May-14	629	590	629	590	9.78
29-May-14	572.99	570	575.01	567.88	-0.7
28-May-14	577.01	570	580.04	563.41	1.23
27-May-14	570	575.59	580.02	557.66	-0.87
26-May-14	575	569	580.1	563.2	1.56
25-May-14	566.15	507.83	572	507.83	12.71
24-May-14	502.3	500	505	500	-1.42
23-May-14	509.55	507	529.79	500.8	1.44
22-May-14	502.3	476.55	507	475.75	5.16
21-May-14	477.65	480	480	475.79	0.36
20-May-14	475.95	440	480	440	8.42
19-May-14	438.97	434.75	440	423.75	0.05
18-May-14	438.75	438	438.75	436.27	-0.73
